rank,seq_no,post_code,db_ID,county,town,epirank,level,population,flu_cases,ev_cases,sars_cases,out_commuters,in_commuters
1,0,220,0,台北縣,板橋市,0.022069763436068174,C-I,516468.0,31,3.4,22,518075,453672
2,2,235,2,台北縣,中和市,0.01694101942764302,C-I,401619.0,25,2.2,24,401549,337386
3,1,241,1,台北縣,三重市,0.01653633089817902,C-I,384051.0,32,4.4,16,387925,357575
4,4,242,4,台北縣,新莊市,0.016342367297189152,C-I,376584.0,36,5.2,21,381040,352103
5,346,807,402,高雄市,三民區,0.01587007173339372,C-I,357536.0,9,5.0,6,344774,348987
6,42,320,42,桃園縣,中壢市,0.01583233147158024,C-I,329913.0,12,1.8,6,331236,377693
7,332,106,339,台北市,大安區,0.015719046883954653,C-I,315818.0,19,1.2,26,304097,388805
8,41,330,41,桃園縣,桃園市,0.014263482254132107,C-I,338361.0,15,4.4,4,314160,319578
9,214,830,214,高雄縣,鳳山市,0.014017976294371862,C-I,322678.0,11,3.2,4,319585,283509
10,340,111,384,台北市,士林區,0.012873299053130038,C-I,292096.0,16,1.2,7,291313,293856
11,333,104,346,台北市,中山區,0.01273505869981285,C-I,216043.0,14,2.0,8,209061,328846
12,5,231,5,台北縣,新店市,0.01183055067876224,C-I,272500.0,19,2.4,5,281623,252280
13,330,105,330,台北市,松山區,0.011386675922670167,C-I,205031.0,15,1.0,5,196722,295376
14,337,116,369,台北市,文山區,0.010946385773279775,C-I,253920.0,15,1.8,10,255634,238310
15,339,114,378,台北市,內湖區,0.01069990408905938,C-I,254521.0,15,0.4,4,251751,232025
16,106,500,106,彰化縣,彰化市,0.010687910128208467,C-I,231129.0,5,4.4,0,215565,236534
17,331,110,334,台北市,信義區,0.010492846745875986,C-II,237530.0,8,0.6,12,231208,244510
18,341,112,391,台北市,北投區,0.010384479466728524,C-II,247904.0,14,0.8,9,245482,218841
19,12,236,12,台北縣,土城市,0.010331438615917342,C-II,231938.0,10,2.0,9,240407,209810
20,310,300,310,新竹市,東區,0.009934133614733737,C-II,177796.0,8,0.8,0,189252,248596
21,241,900,241,屏東縣,屏東市,0.009802772567681124,C-II,215245.0,11,1.6,2,203082,217554
22,213,710,213,台南縣,永康市,0.009601950185025727,C-II,198372.0,11,5.8,0,209531,217641
23,320,406,320,台中市,北屯區,0.009513743576848166,C-II,221815.0,4,1.6,2,207290,198257
24,334,100,353,台北市,中正區,0.009444424951077782,C-II,161635.0,10,1.0,24,151632,250684
25,3,234,3,台北縣,永和市,0.009191773961466128,C-II,229383.0,14,1.8,7,224847,172176
26,318,407,318,台中市,西屯區,0.009122070272401146,C-II,177288.0,5,3.6,0,186928,213020
27,350,806,406,高雄市,前鎮區,0.009087050158029021,C-II,203001.0,3,2.8,1,192109,204326
28,349,802,405,高雄市,苓雅區,0.00899827431935863,C-II,199535.0,4,1.4,3,192714,200743
29,336,108,363,台北市,萬華區,0.00853872265083959,C-II,204024.0,26,0.2,44,195352,186421
30,323,701,323,台南市,東區,0.008298011528785823,C-II,185752.0,4,3.6,0,174386,187621
31,50,324,50,桃園縣,平鎮市,0.008273516289752545,C-II,194521.0,8,1.4,1,193151,165116
32,104,412,104,台中縣,大里市,0.00781228186840913,C-II,176860.0,2,3.0,0,174701,161354
33,344,813,400,高雄市,左營區,0.00764214623755439,C-II,165952.0,7,2.2,0,173854,164272
34,10,221,10,台北縣,汐止市,0.007514554318867972,C-II,165143.0,21,1.6,2,181249,161416
35,103,411,103,台中縣,太平市,0.007395528015259514,C-II,167907.0,3,2.6,0,165305,152631
36,328,709,328,台南市,安南區,0.007209153358713704,C-II,164557.0,4,3.6,0,159495,150604
37,345,811,401,高雄市,楠梓區,0.007188636287204612,C-II,155449.0,8,2.2,1,153968,163907
38,85,420,85,台中縣,豐原市,0.007104745152806882,C-II,161589.0,7,1.0,0,150416,154517
39,13,247,13,台北縣,蘆洲市,0.007065581250774505,C-II,169316.0,14,2.0,5,167980,134419
40,48,334,48,桃園縣,八德市,0.0069884601809602894,C-II,166355.0,1,0.0,1,161181,138288
41,317,404,317,台中市,北區,0.006968547437420995,C-II,148225.0,2,0.8,0,138595,156870
42,352,812,408,高雄市,小港區,0.006890165633396643,C-II,149865.0,5,2.0,2,141477,157664
43,6,238,6,台北縣,樹林市,0.006869672663034127,C-II,156159.0,11,1.6,4,154947,154481
44,321,600,321,嘉義市,東區,0.006574000308281332,C-III,130754.0,8,2.6,0,126752,149430
45,319,408,319,台中市,南屯區,0.006331850314452494,C-III,127769.0,4,1.8,0,130151,145895
46,335,103,359,台北市,大同區,0.006181768697659325,C-III,131343.0,11,0.6,4,122799,150296
47,47,333,47,桃園縣,龜山鄉,0.006070816992768587,C-III,115466.0,10,1.2,0,138963,145000
48,322,600,322,嘉義市,西區,0.0060221068784583115,C-III,135930.0,6,0.8,0,129012,125267
49,9,251,9,台北縣,淡水鎮,0.005999801083244916,C-III,119533.0,22,1.0,0,136842,141244
50,324,702,324,台南市,南區,0.005912021947516593,C-III,133241.0,7,2.4,0,131283,128019
51,115,510,115,彰化縣,員林鎮,0.005799061723841308,C-III,126800.0,4,2.4,0,114560,125915
52,44,326,44,桃園縣,楊梅鎮,0.005711050025179813,C-III,131694.0,6,0.8,1,127282,126533
53,216,831,216,高雄縣,大寮鄉,0.005614434570407295,C-III,115396.0,5,1.8,3,119480,128575
54,311,300,311,新竹市,北區,0.005374450374190575,C-III,129742.0,4,0.4,1,125157,112291
55,316,403,316,台中市,西區,0.005373889041146234,C-III,113768.0,4,1.2,0,107948,120217
56,326,704,326,台南市,北區,0.0050813019584034155,C-III,119721.0,2,2.2,1,110982,108750
